식당이름,카테고리,연락처,구,상세주소,해시태그,별점,별점수,리뷰내용
아웃닭 이대점,치킨,02-363-4375,서대문구,이화여대5길 16 (우)03766,,4.2,24,"@@@@약간.. 어두운거 아냐? 싶지만 분위기도 좋고 치킨도 괜찮음~~! 재방문의사 0@@맛있어요!! 근데 웨이팅 있을 땐 기다리면서 먹진 않아요@@@@최애 치킨집 등극이에요 진짜진짜 맛있어요@@친절하고 맛있는데 좀 직원 분들이 대체적으로 어수선 하니 주문을 잘 깜빡하시더라고요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠ 그래도 넘 맛있고 괜찮았어요 본점이랑 가장 비슷하게 맛있습니다@@내 최애....@@최근 먹어본 치킨 중 제일 맛있음! 같이 나오는 감자튀김도 맛있어요~@@아웃닭 내 인생치킨 아웃닭은 이대점이 진리@@치킨에 있는 떡튀김에 거미가 같이 튀겨져서 나옴 ^^ 환불해달라고 했더니 음료수를 환불해주려고 하길래 치킨에서 나왔는데 왜 음료수를 환불하시냐고 했더니 그제서야 치킨 환불... 음료수값 1500원은 꾸역꾸역 받더라고요@@맛있었는데 이상하게 배 아팠다.. 친구도 배가 아팠다고 한다...@@@@@@양이 엄청 엄청 많아요 !!!! @@아웃닭 이대점이 양도 제일많고 넘 맛있어요!!@@@@치킨치킨@@직원분들도 친절하시고 치킨도 맛있어요^^&@@먼지좀 날려서 치즈스틱 서비스로 왕창주심 존맛@@웨이팅이 좀 있긴 하지만 그만큼 맛있는건 인정,,  갈릭이랑 간장 반반 먹었는데 개인적으로 간장이 더 맛있음@@말이 필요없음 치킨메뉴 자체가 이미 별4개인데 맛있는치킨=☆5  @@웨이팅이 좀 길다.  일단 정말 맛있음. 떡은 식으니 급 맛없어지지만 그 외에 나머지 치킨과 감튀는 정말 좋음. 식어도 눅눅하지 않고 바삭해서 좋았음.@@@@"
포차천국 신촌점,실내포장마차,02-337-1090,서대문구,연세로7안길 19 (우)03788,#제로페이,3.2,9,@@21.03.31(수) 칵테일소주 쫀맛임! ㅎㅎ@@순살 로제파스타 시켯는데 진짜 왕왕왕 맛있어요 다른 메뉴도 시켯는데 진짜 안주들 다 맛있고 사장님 성격 너무 좋아요 와왕왕 추천해요@@여러모로 신세계를 경험함 통돼지김치찌개 - 처음 한 숟갈 뜰때부터 고기누린내 작렬 + 고기색깔 오래된 냉동 시커무리티티한 색깔 김치찌개맛 - 세상에 없던 김치찌개 (김치만 먹고 바로 쥐포로 체인지) 칭따오 맥주 - 기한 지난 맥주 쥐포에 나오는 김 - 기한 지난 김 흠...... 뭐 이 이상 다른 할 말이 없네요........ 다른 술집도 많으니까 거기 가...@@맛도좋구 분위기도 최고예요!!!!@@jmt@@포천 된장술밥은 칼칼해야 제맛인데 여긴 그냥 된장국 맛.@@짬뽕탕에서 비린멋이 날 수 있는 건 처음 알았음. 빙수도 맛없기 참 힘든데... 기본매뉴 된장찌개가 제일 맛있음@@최 악@@
삼오쭈꾸미,"해물,생선",02-362-2120,서대문구,통일로 107-19 (우)03739,#노포,3.2,13,부담없이 가볍게@@방송타서 사람들 바글바글  가격에 비해 양이 무지 작은 편  성인남성 혼자 최소 2인분에 공기밥은 먹어야 함   그리고 모든 메뉴가 2인분부터 주문됨@@@@@@개운하고 감칠 맛나는 국물이 일품인 쭈꾸미전골 ~ 해장이냐? 낯술이냐? 그것이 문제로다 ^^@@맛있는 쭈꾸미전골을 먹을수 있는곳.@@@@불친절의 대명사..... 가격대비 양은 정말 적어요 성인남성 기준 구이는 5인분은 먹어야 삼겹살 1.5인분정도.... 거의 소고기 가격....@@@@맛은 별로 양은 정말 모지?? 싶을정도로 작아요@@@@@@중독성 있는 매운맛의 쭈꾸미볶음~ @@
하나,퓨전일식,,서대문구,연세로7안길 46 1층 (우)03787,#데이트코스#제로페이,4.3,20,"흑@@남자 직원분이 너무 친절하셔서 기분 좋게 먹고 왔어용! 감사합니다~ 음식도 맛있고 빨리 나와서 좋았어요 ㅎㅎㅎ @@@@@@맛있음. 오코노미야끼에 쓴맛이 나는 걸 많이경험해서 걱정했는데 괜찮았음. 가성비도 좋은듯 의자는 불편함@@인생 처음으로 오꼬노미야끼와 야끼소바와 야끼우동을 먹은 곳. 기준이 이곳이 되어버렸다.@@@@맛있고 가격도 좋음 @@오꼬노미야끼도 괜찮지만 개인적으론 야끼소바가 더 맛있었습니당@@2인 기준 정석 : 야끼소바, 오꼬노미야끼, 하이볼 2잔 야무지다@@하 : 하나 오코노미야끼는 나 : 나만 먹을거다@@오코노미야끼 맛있어요ㅠ@@하나를 방문한지 10년이 돼갑니다 .. 오래오래 해주세요 ! 감사합니다 !@@쫀맛@@@@@@맛있다@@@@@@이전하고 좀 넓어지긴 했지만 이전보다 분위기가 떨어진듯. 항상 생각하는게 내부/외부 인테리어에 좀만 더 힘써도 좋지 않을까. 좀 짠 느낌이 있지만 원체 짠단짠단에 충실한 메뉴들. 주문후 홀에서 바로 만들어줘서 보는 재미가 쏠쏠. 시간은 좀 걸림. 기본보다는 사리를 추가해 먹는게 씹는 맛이 더 있다. 천천히 먹다보면 밑이 살짝 타는데 맥주한잔 걸치면 천천히 ...@@"
맥도날드 명지대점,패스트푸드,070-7209-0569,서대문구,거북골로 25 (우)03665,,3.1,14,무난합니다.@@와이파이 굳@@맛있고 매장이 깔끔해요!@@맥모닝짱@@@@여기 알바 불친절함. @@여기 기계 고장나도 오프라인 주문 안됩니다. 다른 점들하고 비교하면 일하는 사람을 로봇으로 대체해도 괜찮을 것 같아요. 질이 떨어지는 것 맞습니다. 교육 안시키나봐요?이정도면 로봇과 뭐가 다른지 모르겠어요~@@일주일전쯤 맥모닝 어플오류때문에 어려움겪을때 직원이 매우 친절하게 잘 대응해주심@@버거는 맥도날드라서 기대 안함 딱 그냥 맥도날드 맛남 눅눅한 빵에 패티 걍 먹을만함 매장상태가 오바임 2층퇴식구는 바구니로 탑을 쌓아놔야 치우시는듯 테이블도 계속 안닦어주시고 바닥은 엄청 끈적끈적 @@별두개도 아까움 이젠 절대 안갈겁니다 매번 갈때마다 먹다 남긴거 같은 상태고   이번엔 메뉴도 틀렸내요 분명히 한번 더 번호 맞는지 물어보고 가져왔습니다   그마저도 감튀는 쩔은 기름내고 정말 돈버렸습니다  다녀본 매장들 어디나 한두번 실망 할때도 있지만 여긴 왜 항상 이모냥 입니까? 절대 예외없이 최악입니다 비결이 뭔가요?@@햄버거는 그럭저럭 괜찮았지만 감자튀김이 너무 뻑뻑하고 아쉬웠습니다 @@@@알바들 서비스 교육좀 시켜요 너무 버릇없음@@맥도날드라서@@
가미분식,분식,02-364-3948,서대문구,"이화여대8길 2 301-나,302호 (우)03767",,2.9,13,"가미우동, 주먹밥, 제육, 돌솥비빔, 칼국수 다섯가지 먹어봤는데 다 맛있어요...@@리모델링 하고 청결문제가 해결된듯 합니다. 가벼운 분식집이고 너무 자극적이지 않아요 가미우동은 특색있는 맛이에요. 사진은 모밀국수인데 다 먹었던 것 같아요. 점수는 3.5 정도라고 생각합니다..!@@엄마가 학생때부터 오셔서 어릴때 자주먹다 가끔생각나서 옵니다! 이층까지했었는데 싹 리모델링하고 이제 일층만운영하네요. 변함없는 맛이에요 슴슴한 주먹밥 맛난 간장에 찍어먹는 맛 체고 수욜은 정기휴무에용@@건강한 맛 재료본연의 맛@@더 맛난 음식점 많겠지만  그래도 밍밍한 찹쌀 주먹밥 그리워요  공사 언제 끝나나요@@제일 기본으로 있는게 우동이랑 주먹밥인데 진심.. 맛 하나도 없어요. 40년 됐다고 하는데 그냥.. 아~~~~무 생각 없이 다들 앉아계시는듯...ㅋㅋ^^@@여긴 닭칼국수 맛집임@@@@2019년에도 남아있을 가게가 아니다@@@@주먹밥, 계란 가득 우동, 치즈떡볶이, 수박빙수!!!!@@@@고속도로 휴게소. 고등학교 구내식당. 보다 못한...@@"
막걸리싸롱 신촌점,"호프,요리주점",02-324-0998,서대문구,연세로11길 10 지하 (우)03788,#고즈넉한#데이트코스#분위기좋은#소개팅#친목모임#회식장소#제로페이,3.3,15,"알바생언니 너무 이쁨  @@진짜 음식 퀄리티 괜찮구 다 좋은데 직원이 너무 부족해보이는느낌? 살짝 아쉽@@딸기바나나스무디 막걸리랑 꿀유자스무디 막걸리 존맛@@@@ㅈ 같네. 장사하기 싫은듯 마스크도 안쓰고@@추억의집.. 막걸리가 맛있어요^^@@구냥 딱히 특색은 없다 막걸리 먹고 싶을때 이것저것 있다@@@@한국어/영어/中文/日本語  올해 봄에 친구하고 같이 갔는데 주문 안하고 그냥 나갔음. 남자 직원 (25살-29살) 이 상상도 못할 정도로 못됐음... 진짜 어이가 없었다.  -상황- 친구: 이 막걸리 하나 시킬게요. 직원: 안주도 시켜야됩니다. 친구: ㅠㅠ 벌써 먹었는데... 뭐 시킬까... 직원: (짜증내는 표정, 태도 나쁜 말투) 저희도 먹고 살아야할 ...@@ 파전맛집ㅠㅠ 이제 막걸리는 이집이다@@다신 안감 저질퀄리티 다른 사람이 먹다만 전 치즈올리고 다시 뎁혀서 나온거같은 퀄리티 @@화장실이 매우 불편하지만 메뉴도많고 음식도 많음@@막걸리맛있음 안주 좀비쌈@@@@가까운거리에 이정도면 만족@@"
크리스피크림도넛 가좌역점,도넛,02-302-4464,서대문구,"수색로 56 1층 127, 128호 (우)03791",#롯데잇츠이벤트#카카오페이#제로페이,3.4,16,"오늘 달달데이라 방금 갔다왔는데  엄청 친절하셨음. 계산 끝나고 남자사장님?그분이 좋은 하루 되라고 하는데 기분좋았음 저런 인사말조차없는곳이 많은지라 별다섯개~@@사장님, 알바분 모두 친절하세요!@@물량이 너무 없네요 비싼것만 갖다놓은 느낌도 들고요 기본적인 글레이즈도 없고@@한마디로 최악. 너무 불친절하고 음료도 맛없음. 라떼를 펄펄 끓여줘서 혀가 다 데임. 도넛을 포장하는데 손으로 덥석 집음.. 코로나 시국에 너무 비위생적인 곳.. 재방문 의사 1도 없음.@@합정역은 기프티콘 사용에도 친절한대  가좌점은 짜증나게 해서 가기가 겁나서  합정으로만 갑니다 @@맛있어요@@크리스피 글레이즈드는 역시나 너무 맛있고 사장님이 너무 친절하세요 ㅜㅜ 최고다 최고@@사장님이 정말 친절하시네요@@마시땨@@가게 관리 너무 안돼있음...@@평소 도나쓰를 조아해서 우리나라 전국을 돌아다니며 맛좋은 도나쓰 그리고 커피를 찾아 헤매는 사람임니다,, 이 날도 어김없이 내 혀에게 행복을 주고자 우연히 크리스피 도나쓰 가좌역점에 들어갔는데 도나쓰 맛이 좋았던것 뿐 아니라 친절하신 직원분 그리고 청결한 매장상태 덕분에 맛난 도나쓰 냠냠 했슴니다,, 맛과 서비스 둘 다 너무 훌륭해서 우리 집사람이랑 애기들...@@위치 찾는데 좀 애먹었는데 여자 직원분들 친절 하셨음 커피도 생각보다 맛잇네요 만족해요@@스트로베리 스무디 상콤하고 맛있어요~ 직원분도 친절하세요~@@아니....일을 하겠다는 건지 말겠다는 건지..;;폰보면서 도넛담고 봉지에 담아주지도 않아서 손님이 직접 담는게 말이 되는지..?알바 다시뽑으시는게 좋을듯 가게평점만 안좋아질듯 ㅋㅋㅋㅋㅋ@@와 진짜 일요일 오후 12시에 근무하시는 분 진짜 매너 별롭니다. 계산하려하는데 계속 자기 폰만 보고 있고; 손님을 상대하겠다는 건지 말겠다는 건지 진짜 너무 불쾌합니다@@크리스피크림 요즘 찾기가 어려워서 기본도넛먹으러 여기까지 갔는데 바로 안먹어서 그랬는지 .. 폭신하지 않고 질겼음 ㅠ ㅠ..@@"
청년국수,국수,02-313-1125,서대문구,연세로12길 23 (우)03776,#혼밥#제로페이,3.4,31,"숙주가 상했는지 맛이 너무 이상해서 세입먹고 다버렸네요 부엌에서 일하는 분 마스크도 제대로 안쓰고 불친절했는데  맛까지 없으니 여긴 …  하 돈아깝네 진짜@@11시 오픈인지 모르고 오전 10:40분쯤 갔는데 11시부터 주문 가능하다고 해서 알겠다고 하고 기다리고 있었습니다. 혼자 일하시던데 와중에 배달주문은 계속 들어오고 있었고 너무 많이 들어오자 혼잣말로 크게 불평을 하시더군요;; 그렇게 11시가 되었고 주문 가능하냐고 여쭤봤더니 배달주문이 밀려 좀 더 기다려야된다고 하시길래 얼마나 더 기다려야하냐고 여쭤보니...@@맛이랑 양은 괜찮은데 불친절하고 마스크도 제대로 안쓰심@@별로예요.. @@여기 사장이 바뀌었나요? 사장 와이프 임신해서 휴무하기전부터 좋아하며 자주오다가 오랜만에 재방문했습니다.   근데 서비스 엉망진창, 위생엉망진창(이미 다른 분들이 많이 언급하시는 부엌에서 턱스크나 노마스크 그리고 흡연), 뭐 제대로 되있는게 없네요?  제가 기억하던 열정넘치고 맛있던 음식들은 허상이였나봅니다.  오랜만에 방문했다가 옛정도 다 버리고 갑니다....@@일단 사장님 담배피셔서 별로에요.. 마스크 안 쓰시고 조리하시는 것도 봐서 여기는 안 가요.@@처음 들어갔을 때부터 인사도 없이 대뜸 시간 오래 걸리는데 괜찮겠냐고 퉁명스럽게 물어보고는 자리 권하지도 않음...거기까진 그러려니 했는데 주문하고 기다리고 있으려니 갑자기 혼자서 모니터 보다가 sssival sssibaal 거려서 깜짝놀람;; 아무리 배달주문 받느라 바쁜 상황이라고 하더라도 손님이 홀에 있는데 욕지거리 하는건 예의가 아니지 않나?...국수...@@이 더운 여름에도 뜨끈뜨끈한 깊은 국물이 그리워 종종 발걸음을 이쪽으로 옮긴다. 추운 겨울은 그냥 간다. 면 무한리필인 것도 너무 좋다. 유부초밥도 맛있어서 같이 가는 사람 있으면 시켜서 나눠먹는다.@@배달 많고 바쁜건 알겠는데 홀에서 먹는 손님에 대한 서비스는 완전 꽝이네요. 들어가자마자 “2인석 앉으세요” 하고 (혼자감) 자리도 많은데 굳이.. 란 생각 들었지만 (사장님은 인사도 안하셨) 점심에 사람 많이 오나보다 하고 따름. (먹는 동안 한명도 손님으로 안 옴) 주방에 있는 사장 계속 알바생이랑 소통하는데 사장님 턱스크 쓰고 계심. 그거보고 바로 입...@@일단 들어갔는데 인사 없었음 내가 유령인줄.. 당황; 그때 나갔어야했는데.. 요새 생각하는게 인사 안하는집은 거르는게 답인듯! 내가 자리 앉다가 음식 나오기전 옮겼는데 의자 조금 집어넣고 옮김 근데 갑자기 인사 안했던 사장이 의자 집어넣으라 함ㅋㅋ 식당에서 처음이였.. 지시받은 느낌.. 굳이? 내가 의자 확 열고 간것도 아니고..그리고 오픈 이후로 갔는데 ...@@맛있고 양많고 값쌈 완벽그자체@@엄청 맛있다는 아니지만 양이 많고 국수 땡길때 무난하게 먹을만함 의외로 유부초밥 맛집임 ㅋㅋㅋ 국수랑 잘어울리기도 하고 그냥 맛있음 칸막이 있어서 혼밥하기도 좋음@@맛있고 저렴하고 양많고 짱짱@@국물 진국.. 맛있어요~ 가성비 굿@@굿굿@@구포국수를 서울에서 이만큼 잘하는집이 있을까,,, 부산구포국수가 생각날때마다 가는집 요즘은 배달까지하시니 금상첨화@@아래 목격담이 사실이면 1개주셔야죠@@가성비 좋고 맛있어서 학교다닐때 자주 왔는데, 오늘 너무 실망했습니다. 담배피고 들어와서 손도 씻지 않고 그릇 정리하고 일하시네요. 마스크도 안쓰고 턱스크 하신채로 일하시는데 정말 청년국수 좋아하던 고객으로 아쉽습니다. 다음부터는 꼭 청결 신경써주세요. @@따듯한 국물 맛있었어용 @@여기는 무조건 부추국수@@잔치국수로부터의 한단계 진화@@ㅁ맛잇고 양도 많고 싸요!@@신정휴무@@국수가 맛있어요!!!@@양이 엄청 많아서 반 밖에 못먹을 정도… 맛있어요!@@최고@@가성비 좋은 밥집@@해장엔 부추국수가 최고! 크림간장파스타에는 유부초밥 으깨서 같이 먹으면 맛있어요. 입맛 없울 땐 비빔국수!@@유부초밥 존맛탱 가성비좋고 양 많음! 국수들 다 맛있늠@@@@"
천궁전마라탕,중화요리,02-322-9880,서대문구,연세로5가길 3 2층 (우)03789,#혼밥,3.3,26,"여기가 제일 좋아요..신촌.이대 근방 마라탕 집 중에..중국당면 두꺼운거 제일 쫄깃함..다른곳은 물컹ㅜ..언니들도 친절!! 좋아요~~@@전 여기서만 먹어요~~@@나쁘지 않았던 곳이였어요~@@@@진짜진짜 맛있는데요... 배달시켰는데 맛있어서 가게까지 찾아갔는데 위생이 별로였어요. 재료 담는 바구니에 면, 팽이버섯 한 가닥씩 붙어있고 직원들은 손님 본체만체하고... 위생하고 서비스만 좀 신경써주세요@@맛은 정말 최고입니다.. 서비스는 별로지만 맛은 최고예요@@별 0개는 없나요.. 마라탕 사랑하는 사람으로써 너무 불쾌해서 굳이굳이 후기 남깁니다.   인사 안하는거 자리 안내 없는건 기본이고 음식도 직접 가져가는 방식. 여기까진 그렇다칩시다. 근데 먹다가 날파리가 나와서 말씀드리니 "" 요즘 날파리가 있으니 재료 담을때 잘 보고 담으라는 대답"" 듣고나서 ㅋㅋㅋㅋㅋ 어이없어서 헛웃음 쳤네요 ㅋㅋㅋㅋㅋㅋ 손님 잘못이다 ...@@엄청!! 불친절한것만 빼면 맛있음. 첫도전은 1단계로@@평소에도 항상 끝단계에서 바로 아래 단계 먹을 정도로 매운 거 잘 먹는데요 먹을 때 컨디션도 나쁘지 않았고요 그런데 여기서 먹고 식은땀이 나면서 아프길래 병원 갔다왔어요 아래 평들 보니 아픈 게 저 혼자만은 아니네요..@@굿굿@@맛은 있어요. 근데 바구니에 재료 담을 때 재료 잘 기억하세요. 중국당면 같은거 양이 줄어들지 않는지(중국당면 긴거 6개 담았는데 > 긴거 1개 짧은거 5개가 끓여나온다던지) 재료 계산하기 전에 확인하시는게 필요할 듯 해요. 최소금액 7천원입니다.@@여기서 먹고 장염걸렸어요ㅎ... 그렇다고 공간이 깨끗하다거나 너무 맛있다거나 직원이 친절한 것도 아니네요 평점 왜이렇게 높은지 모르겠네요@@신촌 마라탕 중에 제일 맛있고 양도 제일 많다. 게다가 비교적 위생적@@마라는 여기가 최고ㅜ 중국에서 먹던 맛이라구요@@중국 유학했던 사람인데 여기가 제일 맛있음 ㅠㅠ내가생각하는 현지의 맛...@@나쁘지 않음 가성비 좋음 셀프코너에서 원하면 소스 더 넣을수 있음 땅코소스 고추소스 다 있음.. 고수도 셀프코너에서 팍팍 넣을 수 있음@@마라 맛이 좀 약한느낌 그래도 맛있음@@샹궈 맛있음  요즘 코로나땜에 주인분들만 하셔서 직원문제는 모르겠음 쿠폰스탬프 알아서 안 찍어줌 쿠폰달라고 하자 지금까지 샹궈 세번먹으면서 쿠폰 있는거 몰랐는데 하;@@Soso@@국물 찐임. 초반엔 사장님 진짜 친절하셨는데 요즘은 갈때마다 알바생 분인것 같음ㅜㅜ 별로 안매워서 3단계 시켜도 매운 거 좋아하는 사람한테는 무난함.@@가성비좋고 맛있어요@@오늘 방문했고 평점이 높은 이유를 잘 모르겠습니다.  문을 열고 들어가던 순간부터 아무도 인사를 해주시지 않았고, 자리 안내도 받지 못해서 저희 알아서 들어가 앉았습니다.  재료를 고르고 주문을 하러 갔고, 주문을 받던 알바분은 한국인이 아니었던 것 같습니다. 발음이 좋지않아 ""공깃밥은요?""라는 질문을 못알아들어서 두번 정도 되물었더니 눈 굴리고 똑바로 뜨...@@별점 1점 말고 0점은 없나요? 진짜 하나도 아까워요ㅠㅠ 직원도 기분이 상할 정도로 불친절해요.  맛은 솔직히 그냥 평범해요. 근데 여기서 먹고 친구랑 둘 다 배탈나서 하루종일 고생했습니다.  다른 친절하고 맛있는 가게 많은데 기분 상해가면서 이 집에서 먹어야 할 이유가 진짜 1도 없어요.@@맛있다 맛있어서 두번시킴@@맛있습니다^^@@서울에서 마라탕집 여럿 다녀봤지만 이렇게 친절하신 사장님과 맛까지 좋은곳은 없는것같습니다 ㅎㅎ 맛있게 잘먹었습니다~@@"
셀리스도넛,도넛,02-389-4484,서대문구,연세로7안길 1 1층 (우)03788,#제로페이,3.7,29,"ㅠㅠ맛이없어요..ㅠㅠㅠ 컨셉은 예쁜데.. 아쉬워요.. @@맛은 있는데 던킨과 비슷함 그..예쁘니까 그냥 예쁜 도넛가게를 원하는 사람은 만족할듯@@움…저녁 6시쯤 방문해서 구매했는데 늦은시간에픽업해서 그런건지 빵이 넘 퍽퍽하고 촉촉함이란 1도 없고..밑에 던킨이랑 맛 비슷하다고 하신 리뷰 있었는데 전 던킨보다도 .. 별로였어요 ㅠ ㅠ 그냥 모양만 이뻐요,,@@웃고 있는 도넛이 약올리는거같아 더 화나요ㅋㅋㅋ 다행히 하나만 이렇게 왔어용@@@@정말 너무 맛있어요.. 알바생분이 인절미도 추천 해주셔서 먹어봤는데 맛있었어요 ㅎㅎ@@토요일 저녁에 방문했는데 알바생이 둘다 너무 불친절해서 별로에요.. @@@@@@던킨 먹구 싶은데 다 문닫아서 와봤어요. 2000원짜리 도넛에서 시장가면 1000원에 파는 도나-쓰 맛이 납니다. 빵이 푸석푸석해요. 아 더 던킨 먹고 싶어졌어요…@@@@일부러 갈만한 맛 아님.진짜아님.....@@맛있음 링도넛류도 맛있는데 크림 들어간 걸 잘함  크림브륄레 라즈베리 헤이즐넛 피넛버터 다크초코 추천 나머지 괜춘 카야잼 유자는 갠적으로 별로@@맛있네요@@거의 전메뉴 다 먹어봤는데 피넛버터가 괜찮아요ㅎ 나머진 먹을만..던킨느낌 일부러 멀리서 찾아갈 맛은 아니에요~  ++최근에 신메뉴들이 다양해지면서 개성있고 맛있는 맛들이 많이 생겼길래 별 5개로 바꿔요 코코망고랑 복숭아랑 시나몬?맛 추천이요!! 진짜 메뉴다양하고 신메뉴도 꾸준히 잘 내는게 좋은거같아요@@말차 도넛 맛있었어요. 다만 음료 메뉴는 좀 부족한 느낌 ㅠㅠ@@@@크림브륄레랑 라즈베리 먹었는데 후자는 너무 달았어요! 근데 맛있어서 우유랑 먹음 좋겠다 싶었음. +) 이 가게 맛없다고 한 네이버 블로그가 명예훼손으로 게시글 게제 중단됐다고 하는데 진짜인지 궁금... 사실이라면 양심적으로 장사하시길@@굿굿@@무난무난해요. 근데 뽀또맛은 왜 신맛이 나죠ㅠㅠ?@@하..  ㅂㄹ@@@@크림브릴레가 그낭 생크림빵에 설탕코팅 발린 것 같았어요ㅠㅠ 뽀또는 징짜 맛있었어요:)@@크림이 완전 찐하고 빵도 쫄깃해서 좋았습니다@@대존맛@@비싸다 그치만 맛있다@@굳@@도넛피가 쫄깃하고 느끼하지 않으며 도넛 안에 크림이 넉넉하게 마니 들어있고 적당한 단 편. 다른 도넛에 비해 가격은 조금 비싸지만 비싼 값하는 맛. 후식으로 맛있게 먹었음.@@수제 도넛이 맛있네요!@@"
종로계림닭도리탕원조 충정로점,닭요리,02-363-0510,서대문구,충정로4길 12 1층 (우)03742,#노포#친목모임#회식장소#제로페이,3.6,8,맛있어요~@@직원들 친절하진 않음.@@맛있어요~~~ 화장실 내부에 있고 깨끗 ☆매우중요☆@@슴슴하게 계속 들어갑니다@@선한영향력가게@@@@@@친절. 맛은 종로 본점과 동일. 간마늘 듬뿍 올라간 닭도리탕. 여성분은 칼국수보다 떡사리 추가하고 시작하는 걸 추천. 간마늘 섞은 소스에 찍어 먹는 떡사리 맛이 굿. 일행 중 여자 사람이 떡 기본으로 들어있는데 왜 추가 시켰냐고 잔소리하더니 혼자 다 먹음. @@
에그앤드스푼레이스,이탈리안,02-312-5234,서대문구,이화여대길 26 이화빌딩 1층 (우)03767,#데이트코스#브런치카페#소개팅#혼밥#제로페이,3.8,20,"사장님이 변한거 같아요ㅠㅠ 대학생 시절 정말 많이 갔어서 추억돋아하며 오랜만에 갔는데 플레이팅도 엄청 평범해지고.... 속상했어요@@맛이 나쁜건 아닌데 너무 평범의 극을 달린달까(?) 진짜 8천원 짜리 파스타도 아니고ㅠㅠ 플레이팅도 너무 별로고 양도 적었다. @@오믈렛이 예전이나 지금이나 변함 없이 맛있어요!  오랜만에 와서 잘 먹었습니당 :) @@분위기는 좋아요! 인테리어도 구경할 맛이! 근데 음식 맛은 조금 그렇네요! 평범한 곳! 커플들이 정말 많이 오네요~@@분위기는 괜찮은편 가격은 양과 질에비해 다소 비싼편 일부러 찾아갈 정도는 아닌듯@@여긴 오믈렛 맛집 파스타는 평범했던거 같아요@@맛있게 잘 먹고 가요!:)@@@@@@마지막주문이 저녁 6시까지인 집@@가볍게 먹기에 괜찮다. 외관이 귀여워서 들어갔는데 내부는 평범하다. 음식은 맛있었는데 손님이 직원분 눈치봐야하는게 쫌 별로였다. @@쉬림프 오일 파스타랑 토마토 치즈 피자 최고예요! 가끔 생각나서 굳이 찾아가는 매력이 있음@@상당히 만족스러운 집@@최고의 맛집,,!~~!~@@그냥 정직한 브런치맛이예요 맛있지도 맛없지도않은..@@@@여기는 최고.. 인생 맛집 ㅜㅜ@@@@@@오믈렛이 너무 맛있다! 눈에 띄는 장소지만 사람이 많지 않아서 더 좋았다@@"
지오짱생조개구이,조개,02-333-2236,서대문구,연세로5가길 15 1층 (우)03789,#친목모임#제로페이,4.7,13,진짜 맛있긴 한데 아... 양이 아주 살짝만 더 많았더라면 ㅜㅜ@@조개찜 무적권 드세요….. 칼국수 서비스에요 인생 조개집임 ㅜㅜ 가리비 넘넘넘넘 맛있어요 왜 이제알았을꼬 겨울 다지나고 -3- 친절하고 맛있고 but 밖에서 먹으면 시끄럽고 추움 털신 필수@@@@너무 맛있어요!@@바닷속에 들어갔다온 느낌 오바죠 최근에 알아서 열심히 이용중입니다@@너무맛나서 삼세번 갔어요 싱싱ㆍ 통통 ㆍ 푸짐 조개구이 ㆍ 찜 ㆍ 전골 꾸준히 더 방문할 거예요@@21.03.16(화) 조개구이 맛있었고 사장님도 친절했습니다.~ 손님이 없는게 안타까울뿐 여기서 먹고 2차로 물담하러갔써용~@@엄청 맛있었어요.. 다만 장이 약한 사람들은 조심하는게 좋을 것 같아요 식중독 걸려서 밤새 계속 토했어요 ㅠㅠ.....열도 계속 안떨어져서 코로나 검사까지 했네요..@@국산조개라 그런지 진짜 싱싱하고 맛있어요 사장님이 직접 구워주시고 설명해주셔서 더 맛있었답니다  지인들하고 왔는데 다들 만족ㅎㅎ 또 올게용 @@조개구이집갈떄 항상 중요하게 보는게 가리비수랑 조개 알찬 정도인데 둘다 만족스러웠어요. 소주 한잔하기 좋은 편한 분위기임.@@사장님 친절하시고 조개구이 푸짐하고 맛있어요!@@맛있어요 ㅠㅠㅠ 진짜 신선하구 칼국수 김치랑 먹으면 기절....  근처에 있는 숙이네보다 맛있어요(속닥속닥) 오세요 여러분.. @@신촌에서 먹은 조개구이 중에 가장 맛있고 신선해요!! 옛날부터 단골이었는데 변하지 않는 것 같네요 정말 맛있어요!@@
